seed,w,stage,n_nodes_A,n_nodes_B,symdiff_nodes_AB,trunk_common,jaccard_A,one_minus_J,concordance,counterfactual_A_symdiff_size,shared_graph_object
3,2,19,180,180,0,1,nan,nan,1.0,0,1
4,2,0,60,60,0,1,0.0,1.0,0.8666666666666667,2,1
4,2,1,70,70,0,1,0.8333333333333334,0.16666666666666663,0.9545454545454546,1,1
4,2,2,72,72,0,1,0.8571428571428571,0.1428571428571429,0.9565217391304348,1,1
4,2,3,77,77,0,1,nan,nan,1.0,0,1
4,2,4,88,88,0,1,1.0,0.0,1.0,0,1
4,2,5,100,100,0,1,1.0,0.0,1.0,0,1
4,2,6,104,104,0,1,nan,nan,1.0,0,1
4,2,7,106,106,0,1,1.0,0.0,1.0,0,1
4,2,8,108,108,0,1,1.0,0.0,1.0,0,1
4,2,9,110,110,0,1,nan,nan,1.0,0,1
4,2,10,116,116,0,1,1.0,0.0,1.0,0,1
4,2,11,118,118,0,1,1.0,0.0,1.0,0,1
4,2,12,121,121,0,1,1.0,0.0,1.0,0,1
4,2,13,124,124,0,1,nan,nan,1.0,0,1
4,2,14,125,125,0,1,1.0,0.0,1.0,0,1
4,2,15,128,128,0,1,1.0,0.0,1.0,0,1
4,2,16,130,130,0,1,nan,nan,1.0,0,1
4,2,17,132,132,0,1,1.0,0.0,1.0,0,1
4,2,18,135,135,0,1,1.0,0.0,1.0,0,1
4,2,19,139,139,0,1,nan,nan,1.0,0,1
5,2,0,60,60,0,1,0.5,0.5,0.8666666666666667,2,1
5,2,1,61,61,0,1,1.0,0.0,1.0,0,1
5,2,2,62,62,0,1,1.0,0.0,1.0,0,1
5,2,3,67,67,0,1,nan,nan,1.0,0,1
5,2,4,73,73,0,1,nan,nan,1.0,0,1
5,2,5,77,77,0,1,nan,nan,1.0,0,1
5,2,6,82,82,0,1,nan,nan,1.0,0,1
5,2,7,86,86,0,1,nan,nan,1.0,0,1
5,2,8,89,89,0,1,0.0,1.0,0.9285714285714286,2,1
5,2,9,91,91,0,1,0.0,1.0,0.9310344827586207,2,1
5,2,10,95,95,0,1,0.0,1.0,0.9375,2,1
5,2,11,96,96,0,1,0.0,1.0,0.9375,2,1
5,2,12,98,98,0,1,0.0,1.0,0.9393939393939394,2,1
5,2,13,101,101,0,1,0.0,1.0,0.9428571428571428,2,1
5,2,14,103,103,0,1,0.0,1.0,0.9444444444444444,2,1
5,2,15,106,106,0,1,0.0,1.0,0.9473684210526315,2,1
5,2,16,108,108,0,1,0.0,1.0,0.9487179487179487,2,1
5,2,17,110,110,0,1,0.0,1.0,0.95,2,1
5,2,18,114,114,0,1,0.0,1.0,0.9534883720930233,2,1
5,2,19,115,115,0,1,0.0,1.0,0.9534883720930233,2,1
6,2,0,60,60,0,1,0.4,0.6,0.8,3,1
6,2,1,66,66,0,1,0.2,0.8,0.7647058823529411,4,1
6,2,2,76,76,0,1,0.0,1.0,0.9545454545454546,1,1
6,2,3,90,90,0,1,0.0,1.0,0.967741935483871,1,1
6,2,4,102,102,0,1,nan,nan,1.0,0,1
6,2,5,113,113,0,1,nan,nan,1.0,0,1
6,2,6,125,125,0,1,nan,nan,1.0,0,1
6,2,7,135,135,0,1,nan,nan,1.0,0,1
