seed,w,stage,n_nodes_A,n_nodes_B,symdiff_nodes_AB,trunk_common,jaccard_A,one_minus_J,concordance,counterfactual_A_symdiff_size,shared_graph_object
0,6,0,60,60,0,1,0.5714285714285714,0.4285714285714286,0.8,3,1
0,6,1,77,77,0,1,0.9333333333333333,0.06666666666666665,0.9615384615384616,1,1
0,6,2,88,88,0,1,0.9375,0.0625,0.967741935483871,1,1
0,6,3,96,96,0,1,1.0,0.0,1.0,0,1
0,6,4,100,100,0,1,1.0,0.0,1.0,0,1
0,6,5,102,102,0,1,1.0,0.0,1.0,0,1
0,6,6,104,104,0,1,1.0,0.0,1.0,0,1
0,6,7,108,108,0,1,1.0,0.0,1.0,0,1
0,6,8,110,110,0,1,1.0,0.0,1.0,0,1
0,6,9,112,112,0,1,1.0,0.0,1.0,0,1
0,6,10,113,113,0,1,1.0,0.0,1.0,0,1
0,6,11,115,115,0,1,1.0,0.0,1.0,0,1
0,6,12,117,117,0,1,1.0,0.0,1.0,0,1
0,6,13,119,119,0,1,1.0,0.0,1.0,0,1
0,6,14,124,124,0,1,1.0,0.0,1.0,0,1
0,6,15,126,126,0,1,1.0,0.0,1.0,0,1
0,6,16,129,129,0,1,1.0,0.0,1.0,0,1
0,6,17,130,130,0,1,1.0,0.0,1.0,0,1
0,6,18,131,131,0,1,1.0,0.0,1.0,0,1
0,6,19,134,134,0,1,1.0,0.0,1.0,0,1
1,6,0,60,60,0,1,0.4,0.6,0.8,3,1
1,6,1,62,62,0,1,0.5,0.5,0.8125,3,1
1,6,2,69,69,0,1,0.7777777777777778,0.2222222222222222,0.9,2,1
1,6,3,85,85,0,1,1.0,0.0,1.0,0,1
1,6,4,96,96,0,1,1.0,0.0,1.0,0,1
1,6,5,102,102,0,1,1.0,0.0,1.0,0,1
1,6,6,103,103,0,1,1.0,0.0,1.0,0,1
1,6,7,104,104,0,1,1.0,0.0,1.0,0,1
1,6,8,107,107,0,1,1.0,0.0,1.0,0,1
1,6,9,109,109,0,1,1.0,0.0,1.0,0,1
1,6,10,112,112,0,1,1.0,0.0,1.0,0,1
1,6,11,114,114,0,1,1.0,0.0,1.0,0,1
1,6,12,117,117,0,1,1.0,0.0,1.0,0,1
1,6,13,118,118,0,1,1.0,0.0,1.0,0,1
1,6,14,119,119,0,1,1.0,0.0,1.0,0,1
1,6,15,121,121,0,1,1.0,0.0,1.0,0,1
1,6,16,124,124,0,1,1.0,0.0,1.0,0,1
1,6,17,126,126,0,1,1.0,0.0,1.0,0,1
1,6,18,127,127,0,1,1.0,0.0,1.0,0,1
1,6,19,128,128,0,1,1.0,0.0,1.0,0,1
2,6,0,60,60,0,1,0.5714285714285714,0.4285714285714286,0.8,3,1
2,6,1,72,72,0,1,0.7142857142857143,0.2857142857142857,0.8260869565217391,4,1
2,6,2,86,86,0,1,0.9545454545454546,0.045454545454545414,0.9696969696969697,1,1
2,6,3,99,99,0,1,0.9583333333333334,0.04166666666666663,0.975,1,1
2,6,4,110,110,0,1,0.9629629629629629,0.03703703703703709,0.9787234042553191,1,1
2,6,5,115,115,0,1,0.9642857142857143,0.0357142857142857,0.98,1,1
2,6,6,118,118,0,1,0.9655172413793104,0.03448275862068961,0.9807692307692307,1,1
2,6,7,119,119,0,1,0.9642857142857143,0.0357142857142857,0.9807692307692307,1,1
2,6,8,123,123,0,1,0.967741935483871,0.032258064516129004,0.9818181818181818,1,1
2,6,9,127,127,0,1,1.0,0.0,1.0,0,1
2,6,10,131,131,0,1,1.0,0.0,1.0,0,1
2,6,11,136,136,0,1,1.0,0.0,1.0,0,1
2,6,12,137,137,0,1,1.0,0.0,1.0,0,1
2,6,13,140,140,0,1,1.0,0.0,1.0,0,1
2,6,14,143,143,0,1,1.0,0.0,1.0,0,1
2,6,15,145,145,0,1,1.0,0.0,1.0,0,1
2,6,16,149,149,0,1,1.0,0.0,1.0,0,1
2,6,17,152,152,0,1,1.0,0.0,1.0,0,1
2,6,18,155,155,0,1,1.0,0.0,1.0,0,1
2,6,19,157,157,0,1,1.0,0.0,1.0,0,1
3,6,0,60,60,0,1,0.3333333333333333,0.6666666666666667,0.7333333333333333,4,1
3,6,1,63,63,0,1,0.5714285714285714,0.4285714285714286,0.8235294117647058,3,1
3,6,2,75,75,0,1,0.8125,0.1875,0.8846153846153846,3,1
3,6,3,82,82,0,1,0.8333333333333334,0.16666666666666663,0.9,3,1
3,6,4,93,93,0,1,0.8421052631578947,0.1578947368421053,0.9166666666666666,3,1
3,6,5,100,100,0,1,0.85,0.15000000000000002,0.925,3,1
3,6,6,106,106,0,1,0.85,0.15000000000000002,0.9302325581395349,3,1
3,6,7,111,111,0,1,0.8571428571428571,0.1428571428571429,0.9347826086956522,3,1
3,6,8,114,114,0,1,0.8636363636363636,0.13636363636363635,0.9375,3,1
3,6,9,117,117,0,1,0.875,0.125,0.94,3,1
3,6,10,120,120,0,1,0.84,0.16000000000000003,0.9230769230769231,4,1
3,6,11,138,138,0,1,1.0,0.0,1.0,0,1
3,6,12,142,142,0,1,1.0,0.0,1.0,0,1
3,6,13,148,148,0,1,1.0,0.0,1.0,0,1
3,6,14,158,158,0,1,1.0,0.0,1.0,0,1
3,6,15,167,167,0,1,1.0,0.0,1.0,0,1
3,6,16,170,170,0,1,1.0,0.0,1.0,0,1
3,6,17,173,173,0,1,1.0,0.0,1.0,0,1
3,6,18,177,177,0,1,1.0,0.0,1.0,0,1
3,6,19,180,180,0,1,1.0,0.0,1.0,0,1
4,6,0,60,60,0,1,0.18181818181818182,0.8181818181818181,0.4,9,1
4,6,1,70,70,0,1,0.6,0.4,0.7272727272727273,6,1
4,6,2,72,72,0,1,0.6666666666666666,0.33333333333333337,0.782608695652174,5,1
4,6,3,77,77,0,1,0.8,0.19999999999999996,0.88,3,1
4,6,4,88,88,0,1,0.9444444444444444,0.05555555555555558,0.96875,1,1
4,6,5,100,100,0,1,1.0,0.0,1.0,0,1
4,6,6,104,104,0,1,1.0,0.0,1.0,0,1
4,6,7,106,106,0,1,1.0,0.0,1.0,0,1
4,6,8,108,108,0,1,1.0,0.0,1.0,0,1
4,6,9,110,110,0,1,1.0,0.0,1.0,0,1
4,6,10,116,116,0,1,1.0,0.0,1.0,0,1
4,6,11,118,118,0,1,1.0,0.0,1.0,0,1
4,6,12,121,121,0,1,1.0,0.0,1.0,0,1
4,6,13,124,124,0,1,1.0,0.0,1.0,0,1
4,6,14,125,125,0,1,1.0,0.0,1.0,0,1
4,6,15,128,128,0,1,1.0,0.0,1.0,0,1
